time,Close,Open,High,Low,Doji,DarkCloud,Bull_Marubozu,Bear_Marubouzu,Dragonfly,BullEngulf,BearEngulf,Gravestone,Hammer,BullHarami,BearHarami,LongLeg,Inv_Hammer
2021-04-20 00:00:00,67.15,67.2,68.35,66.8,True,False,False,False,False,False,False,False,False,False,False,True,True
2021-04-23 00:00:00,65.6,66.6,66.7,65.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-24 00:00:00,79.75,80.5,81.3,79.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-19 00:00:00,66.85,67.8,67.8,65.7,False,False,False,False,False,False,False,False,True,False,False,False,False
2021-05-05 00:00:00,58.1,58.5,59.5,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-29 00:00:00,61.25,62.0,62.85,61.1,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-11 00:00:00,63.6,61.5,64.9,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-18 00:00:00,61.25,60.75,61.45,60.75,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-24 00:00:00,63.0,62.05,63.65,61.7,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-26 00:00:00,75.2,73.95,81.0,72.9,False,False,False,False,False,False,False,False,False,False,False,False,True
2021-04-01 00:00:00,71.4,68.6,72.75,68.2,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-19 00:00:00,61.2,61.25,61.6,60.85,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-10 00:00:00,86.3,87.0,88.25,85.85,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-17 00:00:00,81.9,82.75,84.8,81.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-09 00:00:00,71.0,73.0,73.1,70.45,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-27 00:00:00,61.4,64.0,64.8,61.2,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-03 00:00:00,58.65,59.7,59.7,58.55,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-12 00:00:00,62.35,64.45,64.9,61.8,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-31 00:00:00,68.1,71.75,71.75,67.65,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-05 00:00:00,69.9,71.5,71.5,68.55,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-17 00:00:00,60.75,61.2,61.7,60.3,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-14 00:00:00,83.7,85.3,85.35,80.1,False,False,False,False,False,False,False,False,True,False,False,False,False
2021-06-21 00:00:00,79.85,77.5,81.4,77.3,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-25 00:00:00,79.2,80.1,80.1,78.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-20 00:00:00,60.1,61.7,61.9,59.8,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-22 00:00:00,81.5,81.25,83.15,80.95,False,False,False,False,False,False,False,False,False,False,False,False,True
2021-06-30 00:00:00,78.25,77.2,78.8,77.05,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-26 00:00:00,63.85,65.9,67.0,63.75,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-04 00:00:00,58.25,58.65,60.7,58.1,False,False,False,False,False,False,False,False,False,False,False,False,True
2021-05-21 00:00:00,61.9,61.1,64.0,59.85,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-03-30 00:00:00,70.85,75.95,77.9,69.65,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-25 00:00:00,67.85,64.0,68.4,63.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-15 00:00:00,69.0,69.0,69.85,68.55,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-11 00:00:00,85.2,86.55,87.1,84.3,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-16 00:00:00,68.9,69.0,69.7,68.8,False,False,False,False,False,False,False,False,False,False,False,False,True
2021-05-14 00:00:00,60.8,63.0,63.95,60.2,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-31 00:00:00,66.8,68.0,68.2,66.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-01 00:00:00,67.95,67.0,69.2,67.0,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-18 00:00:00,80.5,82.15,82.6,76.0,False,False,False,False,False,False,False,False,True,False,False,False,False
2021-04-06 00:00:00,70.35,70.3,71.25,69.1,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-30 00:00:00,59.9,61.0,61.2,59.75,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-10 00:00:00,61.5,59.4,62.0,59.2,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-26 00:00:00,71.2,69.0,72.4,69.0,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-12 00:00:00,68.35,70.9,70.9,68.0,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-22 00:00:00,66.7,67.0,67.15,66.4,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-04 00:00:00,80.85,72.25,82.65,72.2,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-06 00:00:00,56.7,58.45,58.8,56.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-16 00:00:00,81.8,84.0,84.5,81.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-28 00:00:00,78.85,79.9,80.6,78.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-02 00:00:00,70.25,69.3,70.8,68.1,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-07 00:00:00,83.2,82.45,84.65,82.05,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-08 00:00:00,72.85,71.9,75.0,71.4,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-13 00:00:00,69.3,69.0,69.85,68.05,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-29 00:00:00,77.45,78.05,79.1,77.2,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-07 00:00:00,69.9,70.55,70.9,69.8,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-04-28 00:00:00,61.65,61.55,62.9,60.6,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-07 00:00:00,58.8,57.0,59.65,56.3,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-27 00:00:00,68.5,71.8,72.7,68.15,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-05-28 00:00:00,67.9,69.8,70.0,67.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-09 00:00:00,85.4,83.15,89.75,82.3,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-03 00:00:00,71.1,70.75,71.6,70.1,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-15 00:00:00,83.25,83.8,85.65,82.85,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-08 00:00:00,81.6,83.75,84.5,79.25,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-06-23 00:00:00,80.85,82.1,82.25,80.1,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-01 00:00:00,76.35,78.2,78.3,74.8,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-09 00:00:00,77.5,77.4,78.15,77.05,False,False,False,False,False,False,False,False,False,True,False,False,False
2021-07-27 00:00:00,72.05,72.15,73.1,71.0,True,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-12 00:00:00,76.65,78.25,78.35,76.55,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-04 00:00:00,72.4,74.55,75.3,72.3,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-13 00:00:00,76.5,77.05,77.5,76.0,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-12 00:00:00,67.1,68.15,68.15,66.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-30 00:00:00,62.95,63.7,63.7,62.7,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-23 00:00:00,62.05,62.05,63.75,61.5,True,False,False,False,False,False,False,False,False,False,False,True,False
2021-09-14 00:00:00,66.65,66.7,66.9,66.25,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-09-27 00:00:00,69.1,70.4,70.8,68.5,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-09-30 00:00:00,72.9,70.85,74.2,70.4,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-10-04 00:00:00,73.4,74.1,74.95,73.1,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-05 00:00:00,77.0,79.5,79.5,76.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-18 00:00:00,62.85,63.55,64.65,62.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-16 00:00:00,75.0,75.0,75.9,74.8,True,False,False,False,False,False,False,False,False,False,False,True,False
2021-07-19 00:00:00,72.8,74.95,74.95,72.25,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-09-09 00:00:00,65.95,67.0,67.25,65.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-31 00:00:00,67.1,63.55,69.25,63.15,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-07-26 00:00:00,72.1,71.5,74.15,71.3,False,False,False,False,False,False,False,False,False,False,False,False,True
2021-08-03 00:00:00,74.3,72.2,75.7,71.8,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-08-16 00:00:00,65.0,66.0,66.15,64.85,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-09-08 00:00:00,66.95,68.0,68.0,66.6,False,False,False,False,False,False,False,False,False,False,False,False,False
2021-09-24 00:00:00,69.5,70.65,70.65,68.75,False,False,False,False,False,False,False,False,False,False,False,False,False
